endTime,artistName,trackName,msPlayed
2024-01-18 17:38,Pop Smoke,Mood Swings (feat. Lil Tjay),190196
2024-01-18 17:39,kurtains,pessimist,1578
2024-01-18 17:39,Bas,Passport Bros (with J. Cole),35944
2024-01-18 17:39,Drake,Jimmy Cooks (feat. 21 Savage),11075
2024-01-18 17:42,Two Door Cinema Club,What You Know,185016
2024-01-18 20:00,OneRepublic,Counting Stars,78274
2024-01-18 20:03,21 Savage,redrum,183663
2024-01-18 20:04,Bastille,Pompeii,6199
2024-01-18 20:04,DVBBS,Losing Sleep,2461
2024-01-18 20:05,Akcent,Stay With Me,62275
2024-01-19 07:24,KAWALA,Ticket To Ride,23939
2024-01-19 08:45,XXXTENTACION,Fuck Love,7338
2024-01-19 08:49,21 Savage,redrum,270697
2024-01-19 08:51,Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",102583
2024-01-19 09:04,Kanye West,Heartless,1408
2024-01-19 11:33,Kanye West,Bound 2,189909
2024-01-19 11:42,Travis Scott,SICKO MODE,153986
2024-01-19 11:42,Olly Alexander (Years & Years),Gold,9705
2024-01-19 11:46,Culture Code,Make Me Move,197052
2024-01-19 12:09,OneRepublic,I Ain't Worried,17540
2024-01-19 12:09,Bibio,Petals,316644
2024-01-19 12:13,Don't Hang Me,Blame It on the Night,200600
2024-01-19 12:18,All Tvvins,Darkest Ocean - Radio Edit,196550
2024-01-19 12:23,Tory Lanez,Hurts Me,210220
2024-01-19 12:26,Boney M.,Sunny,193430
2024-01-19 12:35,21 Savage,redrum,526717
2024-01-19 12:38,Lil Uzi Vert,Silly Watch,195692
2024-01-19 12:46,Lil Uzi Vert,Lo Mein,195299
2024-01-19 12:56,Pop Smoke,Flexin',154950
2024-01-19 12:59,elricfd,sleep,3030
2024-01-19 12:59,Empire Of The Sun,Concert Pitch,190190
2024-01-19 12:59,Disclosure,Omen - Radio Edit,1590
2024-01-19 12:59,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),1840
2024-01-19 12:59,The Weeknd,In Your Eyes,2630
2024-01-19 12:59,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2260
2024-01-19 12:59,Lil Uzi Vert,Days Come and Go,2390
2024-01-19 13:00,Why Don't We,I Don't Belong In This Club - MIME Remix,1930
2024-01-19 13:00,The Weeknd,I Feel It Coming,2540
2024-01-19 13:00,Coolio,Gangsta's Paradise,4800
2024-01-19 13:00,Rascal Flatts,Life is a Highway,3400
2024-01-19 13:00,Wardruna,UruR,2810
2024-01-19 13:00,Metric,Speed The Collapse,2190
2024-01-19 13:00,Sigala,Melody,1860
2024-01-19 13:00,Baby Keem,APOLOGIZE,2010
2024-01-19 13:05,Iniko,The King's Affirmation,6638
2024-01-19 13:05,Slaptop,Sunrise,214761
2024-01-19 13:08,K'NAAN,Wavin' Flag - Coca-Cola® Celebration Mix,2100
2024-01-19 13:08,Kanye West,All Falls Down,2040
2024-01-19 13:08,Bibio,Petals,129510
2024-01-19 13:08,Coldplay,Viva La Vida,3010
2024-01-19 13:08,Empire Of The Sun,Celebrate,2810
2024-01-19 13:09,Lil Uzi Vert,Team Rocket,5374
2024-01-19 13:09,BROCKHAMPTON,2PAC,62375
2024-01-19 13:09,Childish Gambino,Sober,2120
2024-01-19 13:09,Hadouken!,Bliss Out,2470
2024-01-19 13:13,Ana Tijoux,1977,1870
2024-01-19 13:13,Youngblood Hawke,We Come Running,4850
2024-01-19 13:13,Juice WRLD,Smile (with The Weeknd),179540
2024-01-19 13:16,Vegedream,Ramenez la coupe à la maison,177030
2024-01-19 13:16,Lil Uzi Vert,Died and Came Back,5990
2024-01-19 13:21,Empire Of The Sun,To Her Door,235586
2024-01-19 13:24,Empire Of The Sun,Tonight,175023
2024-01-19 13:27,Jack Harlow,Tyler Herro,156497
2024-01-19 13:30,Trippie Redd,A Feeling,167573
2024-01-19 13:34,Empire Of The Sun,High And Low,224840
2024-01-19 14:26,BROCKHAMPTON,CASH,97831
